time, rPosX, rPosY, rPosZ, rRotX, rRotY, rRotZ, rRotW
12.997009754180908,-0.135340691,0.131581351,0.504299104,2.36E-05,6.41E-05,0.984807134,0.173651665
13.064669847488403,-0.135340691,0.131581336,0.504299104,2.38E-05,6.39E-05,0.984807074,0.173652008
13.134009838104248,-0.135340691,0.131581336,0.504299104,2.37E-05,6.39E-05,0.984807074,0.173652068
13.197109699249268,-0.135340706,0.131581336,0.504299104,2.36E-05,6.36E-05,0.984807074,0.173652112
13.259399890899658,-0.135340706,0.131581336,0.504299104,2.36E-05,6.37E-05,0.984807014,0.173652485
13.335209846496582,-0.135340706,0.131581336,0.504299104,2.35E-05,6.37E-05,0.984807014,0.173652515
13.407709836959839,-0.135340706,0.131581336,0.504299104,2.37E-05,6.37E-05,0.984807014,0.173652545
13.475059747695923,-0.135340706,0.131581351,0.504299104,2.34E-05,6.37E-05,0.984806955,0.173652604
13.547659635543823,-0.135340706,0.131581351,0.504299104,2.33E-05,6.35E-05,0.984807014,0.173652515
13.619269847869873,-0.135340706,0.131581351,0.504299104,2.32E-05,6.35E-05,0.984807014,0.173652425
13.689359664916992,-0.135340706,0.131581351,0.504299104,2.32E-05,6.36E-05,0.984807134,0.173651844
13.762779712677002,-0.135340706,0.131581351,0.504299104,2.31E-05,6.37E-05,0.984807074,0.173652023
13.83830976486206,-0.135340676,0.131581366,0.504299104,2.32E-05,6.38E-05,0.984807074,0.173651949
13.903729915618896,-0.135340676,0.131581366,0.504299104,2.33E-05,6.37E-05,0.984807074,0.173651949
13.973439931869507,-0.135340676,0.131581381,0.504299104,2.33E-05,6.38E-05,0.984807074,0.173652023
14.04803991317749,-0.135340676,0.131581366,0.504299104,2.34E-05,6.38E-05,0.984806955,0.173652604
14.120359897613525,-0.135340676,0.131581366,0.504299104,2.34E-05,6.37E-05,0.984807014,0.173652336
14.186959743499756,-0.135340676,0.131581396,0.504299104,2.34E-05,6.40E-05,0.984807014,0.173652291
14.28283977508545,-0.135340676,0.131581411,0.504299104,2.33E-05,6.40E-05,0.984807014,0.173652336
14.36856985092163,-0.135340661,0.131581426,0.504299104,2.32E-05,6.45E-05,0.984806955,0.173652604
14.45065975189209,-0.135340646,0.131581426,0.504299104,2.33E-05,6.44E-05,0.984806955,0.173652649
14.525539636611938,-0.135340646,0.131581426,0.504299104,2.34E-05,6.44E-05,0.984806895,0.173653051
14.597089767456055,-0.135340646,0.131581441,0.504299104,2.34E-05,6.44E-05,0.984806836,0.173653275
14.664039850234985,-0.135340646,0.131581441,0.504299104,2.34E-05,6.39E-05,0.984806836,0.17365326
14.73169994354248,-0.135340646,0.131581426,0.504299104,2.32E-05,6.37E-05,0.984806895,0.173653036
14.797239780426025,-0.135340646,0.131581411,0.504299104,2.31E-05,6.37E-05,0.984806895,0.173652947
14.865589618682861,-0.135340691,0.131581411,0.504299104,2.29E-05,6.36E-05,0.984806955,0.173652858
14.936639785766602,-0.135340706,0.131581411,0.504299104,2.28E-05,6.35E-05,0.984806895,0.173653007
15.005829811096191,-0.135340706,0.131581411,0.504299104,2.29E-05,6.35E-05,0.984806895,0.173653007
15.08688998222351,-0.135340706,0.131581411,0.504299104,2.29E-05,6.34E-05,0.984806955,0.173652887
